occ,risk,income,number
Waiters and Waitresses,43.6,21780,2582410
Amusement and Recreation Attendants,56,22260,319890
"Ushers, Lobby Attendants, and Ticket Takers",51.1,22260,133970
Dining Room and Cafeteria Attendants and Bartender Helpers,45.5,22270,455700
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",39.5,22330,473860
Cashiers,41.6,22430,3635550
Laundry and Dry-Cleaning Workers,33.5,23210,213350
Childcare Workers,57.9,23240,564630
"Food Servers, Nonrestaurant",47.6,23290,266190
Food Preparation Workers,42.7,23730,814600
Maids and Housekeeping Cleaners,40.4,23770,924290
Personal Care Aides,64,24020,2211950
Home Health Aides,66.3,24200,797670
Retail Salespersons,38.7,24200,4448120
Manicurists and Pedicurists,49.4,24330,110170
"Hairdressers, Hairstylists, and Cosmetologists",62.1,24730,377210
Taxi Drivers and Chauffeurs,35.2,25980,207920
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",22.7,26110,2156270
Physical Therapist Aides,80.3,26240,47260
Teacher Assistants,55.7,26970,1331560
Veterinary Assistants and Laboratory Animal Caretakers,74.9,27540,89480
Orderlies (Patient Care Assistants),90.2,28060,50100
Nursing Assistants,72.5,28540,1450960
Couriers and Messengers,41,28720,75720
Receptionists and Information Clerks,42.6,29140,1043630
Psychiatric Aides,69,29180,56910
Tellers,50.9,29450,468470
"Preschool Teachers, Except Special Education",55.1,29780,424520
Skincare Specialists,68,31290,50740
"Bus Drivers, School or Special Client",67.3,32420,504150
First-Line Supervisors of Food Preparation and Serving Workers,62.8,32450,964400
Pharmacy Technicians,62.5,32700,417860
"Office Clerks, General",40.5,32730,2972930
Light Truck or Delivery Services Drivers,33.8,32810,915310
Psychiatric Technicians,69.81,32870,71360
Medical Assistants,72.2,33610,673660
Social and Human Service Assistants,60.3,33750,392300
Emergency Medical Technicians and Paramedics,70.7,34320,257210
Medical Secretaries,52.1,35760,585410
Construction Laborers,36.2,35800,1001470
Medical Equipment Preparers,63.9,36240,55610
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",36.5,36630,2165310
Refuse and Recyclable Material Collectors,32.3,37260,118520
First-Line Supervisors of Personal Service Workers,50.2,38400,228620
Dental Assistants,92.5,38660,341060
"Bookkeeping, Accounting, and Auditing Clerks",22,40240,1530430
Massage Therapists,52.8,41420,105160
"Bus Drivers, Transit and Intercity",47.8,42080,174110
Correctional Officers and Jailers,60.4,44330,415000
Licensed Practical and Licensed Vocational Nurses,82.1,46240,701690
Surgical Technologists,80.6,47300,110160
Real Estate Sales Agents,36.9,48690,156760
Municipal Firefighters,63.2,49620,321570
Graphic Designers,12.8,50370,217810
Food Service Managers,40,54240,219160
Postal Service Mail Carriers,16,55210,342410
"Kindergarten Teachers, Except Special Education",65.8,55470,131160
Flight Attendants,75.6,56000,118770
Healthcare Social Workers,58.1,56200,168190
Cardiovascular Technologists and Technicians,79.3,56850,56560
Physical Therapist Assistants,79.3,58040,94250
"Elementary School Teachers, Except Special Education",53.8,58230,1410970
"Middle School Teachers, Except Special and Career/Technical Education",46.6,58600,609970
Radiologic Technicians,84.1,59520,205590
Occupational Therapy Assistants,75,60220,42660
Respiratory Therapy Technicians,95,60280,129600
Respiratory Therapists,84.2,60280,129600
"Secondary School Teachers, Except Special and Career/Technical Education",37.3,60320,1051570
Police Patrol Officers,51.8,61380,661330
Market Research Analysts and Marketing Specialists,14.4,63120,638200
First-Line Supervisors of Correctional Officers,61,63340,43760
"Sales Agents, Securities and Commodities",24.7,64120,415890
"Education Teachers, Postsecondary",19.6,64780,60930
Web Developers,12.5,69430,127300
Registered Nurses,86.1,71730,2951960
Diagnostic Medical Sonographers,80.4,72510,71130
Dental Hygienists,99.7,74820,215150
Management Analysts,14.1,83610,684470
Occupational Therapists,77.7,84270,126900
Computer Programmers,23.43,84280,230470
Financial Analysts,19.3,85660,306200
Physical Therapists,78.6,87930,228600
Personal Financial Advisors,20.2,88890,200260
First-Line Supervisors of Police and Detectives,51.8,89030,116660
Veterinarians,70,93830,71060
Actuaries,5.2,102880,20760
Economists,1.4,104340,18650
Nurse Practitioners,60.9,107030,179650
Physician Assistants,80,108610,114710
Computer Network Architects,4.7,109020,152670
Computer Hardware Engineers,6,114600,60750
Lawyers,23,120910,642750
Pharmacists,56.8,126120,309550
"Financial Managers, Branch or Department",23.8,127990,608120
Marketing Managers,23.7,134290,240440
"Dentists, General",92.1,151850,113000
Nurse Anesthetists,70.8,167950,43520
Chief Executives,33.4,189600,195530
"Internists, General (Internal Medicine)",79.8,194500,37820
Family and General Practitioners,90.1,201100,114130
